"CAPITULO","GRUPO","CATEGORIA","DESCRIP"
"01",A00-A09,A00,Cólera (A00)
"01",A00-A09,A01,Fiebres tifoidea y paratifoidea (A01)
"01",A00-A09,A02,Otras infecciones debidas a Salmonella (A02)
"01",A00-A09,A03,Shigelosis (A03)
"01",A00-A09,A04,Otras infecciones intestinales bacterianas en otra parte (A04)
"01",A00-A09,A06,Amebiasis (A06)
"01",A00-A09,A07,Otras enfermedades intestinales debidas a protozoarios (A07)
"01",A00-A09,A08,Infecciones intestinales debidas a virus y otros organismos especificados (A08)
"01",A00-A09,A09,Diarrea y gastroenteritis de presunto origen infeccioso (A09)
"01",A15-A19,A15,"Tuberculosis respiratoria, confirmada bacteriológica e histológicamente (A15)"
"01",A15-A19,A16,"Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente (A16)"
"01",A15-A19,A17,† Tuberculosis del sistema nervioso (A17)
"01",A15-A19,A18,Tuberculosis de otros órganos (A18)
"01",A15-A19,A19,Tuberculosis miliar (A19)
"01",A20-A28,A20,Peste (A20)
"01",A20-A28,A21,Tularemia (A21)
"01",A20-A28,A22,Carbunco [ántrax] (A22)
"01",A20-A28,A23,Brucelosis (A23)
"01",A20-A28,A24,Muermo y melioidosis (A24)
"01",A20-A28,A25,Fiebres por mordedura de rata (A25)
"01",A20-A28,A26,Erisipeloide (A26)
"01",A20-A28,A27,Leptospirosis (A27)
"01",A20-A28,A28,"Otras enfermedades zoonóticas bacterianas, no clasificadas en otra parte (A28)"
"01",A30-A49,A30,Lepra [enfermedad de Hansen] (A30)
"01",A30-A49,A31,Infecciones debidas a otras micobacterias (A31)
"01",A30-A49,A32,Listeriosis (A32)
"01",A30-A49,A33,Tétanos neonatal (A33)
"01",A30-A49,A34,Tétanos obstétrico (A34)
"01",A30-A49,A35,Otros tétanos (A35)
"01",A30-A49,A36,Difteria (A36)
"01",A30-A49,A37,Tos ferina [tos convulsiva] (A37)
"01",A30-A49,A38,Escarlatina (A38)
"01",A30-A49,A39,Infección meningocócica (A39)
"01",A30-A49,A40,Septicemia estreptocócica (A40)
"01",A30-A49,A41,Otras septicemias (A41)
"01",A30-A49,A42,Actinomicosis (A42)
"01",A30-A49,A43,Nocardiosis (A43)
"01",A30-A49,A44,Bartonelosis (A44)
"01",A30-A49,A46,Erisipela (A46)
"01",A30-A49,A48,"Otras enfermedades bacterianas, no clasificadas en otra parte (A48)"
"01",A30-A49,A49,Infección bacteriana de sitio no especificado (A49)
"01",A50-A64,A50,Sífilis congénita (A50)
"01",A50-A64,A51,Sífilis precoz (A51)
"01",A50-A64,A52,Sífilis tardía (A52)
"01",A50-A64,A53,Otras sífilis y las no especificadas (A53)
"01",A50-A64,A54,Infección gonocócica (A54)
"01",A50-A64,A55,Linfogranuloma (venéreo) por clamidias (A55)
"01",A50-A64,A56,Otras enfermedades de transmisión sexual debidas a clamidias (A56)
"01",A50-A64,A57,Chancro blando (A57)
"01",A50-A64,A58,Granuloma inguinal (A58)
"01",A50-A64,A59,Tricomoniasis (A59)
"01",A50-A64,A60,Infección anogenital debida a virus del herpes [herpes simple] (A60)
"01",A50-A64,A63,"Otras enfermedades de transmisión predominantemente sexual, no clasificadas en otra parte (A63)"
"01",A50-A64,A64,Enfermedad de transmisión sexual no especificada (A64)
"01",A65-A69,A65,Sífilis no venérea (A65)
"01",A65-A69,A66,Frambesia (A66)
"01",A65-A69,A67,Pinta [carate] (A67)
"01",A65-A69,A68,Fiebres recurrentes (A68)
"01",A65-A69,A69,Otras infecciones causadas por espiroquetas (A69)
"01",A70-A74,A70,Infección debida a Chlamydia psittaci (A70)
"01",A70-A74,A71,Tracoma (A71)
"01",A70-A74,A74,Otras enfermedades causadas por clamidias (A74)
"01",A75-A79,A75,Tifus (A75)
"01",A75-A79,A77,Fiebre maculosa [rickettsiosis transmitida por garrapatas] (A77)
"01",A75-A79,A78,Fiebre Q (A78)
"01",A75-A79,A79,Otras rickettsiosis (A79)
"01",A80-A89,A80,Poliomielitis aguda (A80)
"01",A80-A89,A81,Infecciones del sistema nervioso central por virus atípico (A81)
"01",A80-A89,A82,Rabia (A82)
"01",A80-A89,A83,Encefalitis viral transmitida por mosquitos (A83)
"01",A80-A89,A84,Encefalitis viral transmitida por garrapatas (A84)
"01",A80-A89,A85,"Otras encefalitis virales, no clasificadas en otra parte (A85)"
"01",A80-A89,A86,"Encefalitis viral, no especificada (A86)"
"01",A80-A89,A87,Meningitis viral (A87)
"01",A80-A89,A88,"Otras infecciones virales del sistema nervioso central, no clasificadas en otra parte (A88)"
"01",A80-A89,A89,"Infección viral del sistema nervioso central, no especificada (A89)"
"01",A90-A99,A90,Fiebre del dengue [dengue clásico] (A90)
"01",A90-A99,A91,Fiebre del dengue hemorrágico (A91)
"01",A90-A99,A92,Otras fiebres virales transmitidas por mosquitos (A92)
"01",A90-A99,A93,"Otras fiebres virales transmitidas por artrópodos, no clasificadas en otra parte (A93)"
"01",A90-A99,A94,"Fiebre viral transmitida por artrópodos, no especificada (A94)"
"01",A90-A99,A95,Fiebre amarilla (A95)
"01",A90-A99,A96,Fiebre hemorrágica por arenavirus (A96)
"01",A90-A99,A98,"Otras fiebres virales hemorrágicas, no clasificadas en otra parte (A98)"
"01",A90-A99,A99,"Fiebre viral hemorrágica, no especificada (A99)"
"01",B00-B09,B00,Infecciones herpéticas [herpes simple] (B00)
"01",B00-B09,B01,Varicela (B01)
"01",B00-B09,B02,Herpes zoster (B02)
"01",B00-B09,B03,Viruela (B03)
"01",B00-B09,B04,Viruela de los monos (B04)
"01",B00-B09,B05,Sarampión (B05)
"01",B00-B09,B06,Rubéola [sarampión alemán] (B06)
"01",B00-B09,B07,Verrugas víricas (B07)
"01",B00-B09,B08,"Otras infecciones víricas caracterizadas por lesiones de la piel y de las membranas mucosas, no clasificadas en otra parte (B08)"
"01",B00-B09,B09,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas (B09)"
"01",B15-B19,B15,Hepatitis aguda tipo A (B15)
"01",B15-B19,B16,Hepatitis aguda tipo B (B16)
"01",B15-B19,B17,Otras hepatitis virales agudas (B17)
