"EDO","MUN","DESCRIP"
"01","001",AGUASCALIENTES
"01","002",SAN FRANCISCO DE LOS ROMOS
"01","003",ASIENTOS
"01","004",COSIO
"01","005",PABELLON DE ARTEAGA
"01","006",RINCON DE ROMOS
"01","007",SAN JOSE DE GRACIA
"01","008",TEPEZALA
"01","009",CALVILLO
"01","010",SE IGNORA
"02","011",MEXICALI
"02","012",TECATE
"02","013",TIJUANA
"02","014",PLAYAS DE ROSARITO
"02","015",ENSENADA
"02","016",SE IGNORA
"03","017",COMONDU
"03","018",LORETO
"03","019",MULEGE
"03","020","PAZ, LA"
"03","021","CABOS, LOS"
"03","022",SE IGNORA
"04","023",CALKINI
"04","024",CAMPECHE
"04","025",HECELCHAKAN
"04","026",HOPELCHEN
"04","027",TENABO
"04","028",CHAMPOTON
"04","029",ESCARCEGA
"04","030",CALAKMUL
"04","031",CANDELARIA
"04","032",CARMEN
"04","033",PALIZADA
"04","034",SE IGNORA
"05","035",ALLENDE
"05","036",GUERRERO
"05","037",HIDALGO
"05","038",NAVA
"05","039",PIEDRAS NEGRAS
"05","040",VILLA UNION
"05","041",ACUÑA
"05","042",JIMENEZ
"05","043",MORELOS
"05","044",ZARAGOZA
"05","045",JUAREZ
"05","046",MUZQUIZ
"05","047",PROGRESO
"05","048",SABINAS
"05","049",SAN JUAN DE SABINAS
"05","050",ABASOLO
"05","051",CANDELA
"05","052",CASTAÑOS
"05","053",ESCOBEDO
"05","054",FRONTERA
"05","055",MONCLOVA
"05","056",NADADORES
"05","057",SAN BUENAVENTURA
"05","058",CUATROCIENEGAS
"05","059",LAMADRID
"05","060",OCAMPO
"05","061",SACRAMENTO
"05","062",SIERRA MOJADA
"05","063",MATAMOROS
"05","064",TORREON
"05","065",VIESCA
"05","066",FRANCISCO I. MADERO
"05","067",SAN PEDRO
"05","068",ARTEAGA
"05","069",GENERAL CEPEDA
"05","070",PARRAS
"05","071",RAMOS ARIZPE
"05","072",SALTILLO
"05","073",SE IGNORA
"06","074",COLIMA
"06","075",COMALA
"06","076",COQUIMATLAN
"06","077",CUAUHTEMOC
"06","078",VILLA DE ALVAREZ
"06","079",ARMERIA
"06","080",IXTLAHUACAN
"06","081",TECOMAN
"06","082",MANZANILLO
"06","083",MINATITLAN
"06","084",SE IGNORA
"07","085",ACALA
"07","086",BERRIOZABAL
"07","087",CINTALAPA
"07","088",COAPILLA
"07","089",COPAINALA
"07","090",CHIAPA DE CORZO
"07","091",CHICOASEN
"07","092",IXTAPA
"07","093",JIQUIPILAS
"07","094",NICOLAS RUIZ
"07","095",OCOTEPEC
"07","096",OCOZOCOAUTLA DE ESPINOSA
"07","097",OSUMACINTA
"07","098",SAN FERNANDO
"07","099",SITALA
"07","100",SOYALO
"07","101",SUCHIAPA
"07","102",TECPATAN
"07","103",TOTOLAPA
"07","104",TUXTLA GUTIERREZ
"07","105",VENUSTIANO CARRANZA
"07","106",SAN JUAN CANCUC
"07","107",ALTAMIRANO
"07","108",AMATENANGO DEL VALLE
"07","109",CHALCHIHUITAN
"07","110",CHAMULA
"07","111",CHANAL
"07","112",CHENALHO
"07","113",CHIAPILLA
"07","114",HUIXTAN
"07","115",LARRAINZAR
"07","116",METAPA
"07","117",MITONTIC
"07","118",OXCHUC
"07","119",PANTELHO
"07","120","ROSAS, LAS"
"07","121",SAN CRISTOBAL DE LAS CASAS
"07","122",TENEJAPA
"07","123",TEOPISCA
"07","124",SAN LUCAS
"07","125",ZINACANTAN
"07","126",AMATENANGO DE LA FRONTERA
"07","127",BELLA VISTA
"07","128",COMITAN DE DOMINGUEZ
"07","129",CHICOMUSELO
"07","130",FRONTERA COMALAPA
"07","131","GRANDEZA, LA"
"07","132","INDEPENDENCIA, LA"
"07","133","MARGARITAS, LAS"
