"CAPITULO","GRUPO","CATEGORIA","SUBCATEGORIA","DESCRIP"
"01",A00-A09,A00,A000,"Cólera debido a Vibrio cholerae 01, biotipo cholerae (A000)"
"01",A00-A09,A00,A001,"Cólera debido a Vibrio cholerae 01, biotipo el Tor (A001)"
"01",A00-A09,A00,A009,"Cólera, no especificado (A009)"
"01",A00-A09,A01,A010,Fiebre tifoidea (A010)
"01",A00-A09,A01,A011,Fiebre paratifoidea A (A011)
"01",A00-A09,A01,A012,Fiebre paratifoidea B (A012)
"01",A00-A09,A01,A013,Fiebre paratifoidea C (A013)
"01",A00-A09,A01,A014,"Fiebre paratifoidea, no especificada (A014)"
"01",A00-A09,A02,A020,Enteritis debida a Salmonella (A020)
"01",A00-A09,A02,A021,Septicemia debida a Salmonella (A021)
"01",A00-A09,A02,A022,Infecciones localizadas debidas a Salmonella (A022)
"01",A00-A09,A02,A028,Otras infecciones especificadas como debidas a Salmonella (A028)
"01",A00-A09,A02,A029,"Infección debida a Salmonella, no especificada (A029)"
"01",A00-A09,A03,A030,Shigelosis debida a Shigella dysenteriae (A030)
"01",A00-A09,A03,A031,Shigelosis debida a Shigella flexneri (A031)
"01",A00-A09,A03,A032,Shigelosis debida a Shigella boydii (A032)
"01",A00-A09,A03,A033,Shigelosis debida a Shigella sonnei (A033)
"01",A00-A09,A03,A038,Otras shigelosis (A038)
"01",A00-A09,A03,A039,Shigelosis de tipo no especificado (A039)
"01",A00-A09,A04,A040,Infección debida a Escherichia coli enteropatógena (A040)
"01",A00-A09,A04,A041,Infección debida a Escherichia coli enterotoxígena (A041)
"01",A00-A09,A04,A042,Infección debida a Escherichia coli enteroinvasiva (A042)
"01",A00-A09,A04,A043,Infección debida a Escherichia coli enterohemorrágica (A043)
"01",A00-A09,A04,A044,Otras infecciones intestinales debidas a Escherichia coli (A044)
"01",A00-A09,A04,A045,Enteritis debida a Campylobacter (A045)
"01",A00-A09,A04,A046,Enteritis debida a Yersinia enterocolitica (A046)
"01",A00-A09,A04,A047,Enterocolitis debida a Clostridium difficile (A047)
"01",A00-A09,A04,A048,Otras infecciones intestinales bacterianas especificadas (A048)
"01",A00-A09,A04,A049,"Infección intestinal bacteriana, no especificada (A049)"
"01",A00-A09,A06,A060,Disentería amebiana aguda (A060)
"01",A00-A09,A06,A061,Amebiasis intestinal crónica (A061)
"01",A00-A09,A06,A062,Colitis amebiana no disentérica (A062)
"01",A00-A09,A06,A063,Ameboma intestinal (A063)
"01",A00-A09,A06,A064,Absceso amebiano del hígado (A064)
"01",A00-A09,A06,A065,Absceso amebiano del pulmón (A065)
"01",A00-A09,A06,A066,Absceso amebiano del cerebro (A066)
"01",A00-A09,A06,A067,Amebiasis cutánea (A067)
"01",A00-A09,A06,A068,Infección amebiana de otras localizaciones (A068)
"01",A00-A09,A06,A069,"Amebiasis, no especificada (A069)"
"01",A00-A09,A07,A070,Balantidiasis (A070)
"01",A00-A09,A07,A071,Giardiasis [lambliasis] (A071)
"01",A00-A09,A07,A072,Criptosporidiosis (A072)
"01",A00-A09,A07,A073,Isosporiasis (A073)
"01",A00-A09,A07,A078,Otras enfermedades intestinales especificadas debidas a protozoarios (A078)
"01",A00-A09,A07,A079,"Enfermedad intestinal debida a protozoarios, no especificada (A079)"
"01",A00-A09,A08,A080,Enteritis debida a rotavirus (A080)
"01",A00-A09,A08,A081,Gastroenteropatía aguda debida al agente de Norwalk (A081)
"01",A00-A09,A08,A082,Enteritis debida a adenovirus (A082)
"01",A00-A09,A08,A083,Otras enteritis virales (A083)
"01",A00-A09,A08,A084,"Infección intestinal viral, sin otra especificación (A084)"
"01",A00-A09,A08,A085,Otras infecciones intestinales especificadas (A085)
"01",A00-A09,A09,A09X,Diarrea y gastroenteritis de presunto origen infeccioso (A09X)
"01",A15-A19,A15,A150,"Tuberculosis del pulmón, confirmada por hallazgo microscópico del bacilo tuberculoso en esputo, con o sin cultivo (A150)"
"01",A15-A19,A15,A151,"Tuberculosis del pulmón, confirmada únicamente por cultivo (A151)"
"01",A15-A19,A15,A152,"Tuberculosis del pulmón, confirmada histológicamente (A152)"
"01",A15-A19,A15,A153,"Tuberculosis del pulmón, confirmada por medios no especificados (A153)"
"01",A15-A19,A15,A154,"Tuberculosis de ganglios linfáticos intratorácicos, confirmada bacteriológica e histológicamente (A154)"
"01",A15-A19,A15,A155,"Tuberculosis de laringe, traquea y bronquios, confirmada bacteriológica e histológicamente (A155)"
"01",A15-A19,A15,A156,"Pleuresía tuberculosa, confirmada bacteriológica e histológicamente (A156)"
"01",A15-A19,A15,A157,"Tuberculosis respiratoria primaria, confirmada bacteriológica e histológicamente (A157)"
"01",A15-A19,A15,A158,"Otras tuberculosis respiratorias, confirmadas bacteriológica e histológicamente (A158)"
"01",A15-A19,A15,A159,"Tuberculosis respiratoria no especificada, confirmada bacteriológica e histológicamente (A159)"
"01",A15-A19,A16,A160,"Tuberculosis del pulmón, con examen bacteriológico e histológico negativos (A160)"
"01",A15-A19,A16,A161,"Tuberculosis de pulmón, sin examen bacteriológico e histológico (A161)"
"01",A15-A19,A16,A162,"Tuberculosis de pulmón, sin mención de confirmación bacteriológica o histológica (A162)"
"01",A15-A19,A16,A163,"Tuberculosis de ganglios linfáticos intratorácicos, sin mención de confirmación bacteriológica o histológica (A163)"
"01",A15-A19,A16,A164,"Tuberculosis de laringe, traquea y bronquios, sin mención de confirmación bacteriológica o histológica (A164)"
"01",A15-A19,A16,A165,"Pleuresía tuberculosa, sin mención de confirmación bacteriológica o histológica (A165)"
