"CLAVE","DESCRIP"
0,DESCONOCIDO
1,ACCIDENTE AUTOMOVILISTICO
2,ATROPELLAMIENTO
3,HERIDA ARMA BLANCA
4,HERIDA PAF
5,CAIDA
6,QUEMADURA TERMICA
7,ELECTROCUCION
8,INTOXICACION CUALQUIER CAUSA
9,MORDEDURA O PICADURA
10,MACHACAMIENTO
11,HERIDA POR OTRA CAUSA
12,APLASTAMIENTO
13,EXPLOSION
14,GOLPE  POR TERCEROS
15,GOLPE POR OTRA CAUSA
16,INMERCION
17,AHORCAMIENTO
18,LESION AUTOINFLINGIDA
19,ATAQUE SEXUAL
20,ESFUERZO FISICO
21,MALTRATO INFANTIL
50,PROBLEMA MEDICO NO TRAUMATICO
60,MENOR ABANDONADO
61,ASFIXIA
62,OTRA MECANISMO
99,NO REFERIDO
