"CLAVE","DESCRIP"
0,NO APLICA
99,NO SE ESPECIFICA
599,ICTERICIA NEONATAL
11006,TCE
12002,TRAUMA CRANEO FACIAL
12003,TRAUMA LENGUA
13022,FRACTURA NASAL
14005,TRAUMA OCULAR
15004,TRAUMA DE OIDO
16011,TRAUMA CUELLO
17099,TRAUMA CABEZA NO ESPECIFICADO
21299,TRAUMA TORAX
22369,TRAUMA INTRABDOMINAL
23037,TRAUMA ORGANO PELVICO
23038,TRAUMA GENITALES
31499,TRAUMA HOMBRO Y BRAZO
32599,TRAUMA  ANTEBRAZO
33699,TRAUMA MANO Y MUÑECA
41100,TRAUMA CADERA Y MUSLOS
43899,TRAUMA OIERNAS
44999,TRAUMA PIE Y TOBILLO
45009,TRAUMA COLIMNA VERTEBRAL
50100,POLITRAUMA
50149,TRAUMA NO ESPECIFICADO
61919,INTOXICACION ALCOLICA
62436,INTOXICACION DROGAS ILICITAS
63100,INTOXICACION MEDICAMENTOSA
64059,INTOXICACION ALIMENTARIA
65059,EFECTO TOXICO DE GASES HUMOS Y VAPORES
66597,INTOXICACION CO2
67099,INTOXICACION NO ESPECIFICADA
71670,GOLPE DE CALOR INSOLACIÓN
72068,HIPOTERMIA
73357,CONCGELACMIENTO
74075,ASFIXIA
75751,AHOGAMIENTO
77742,ABUSO SEXUAL
78754,LESION ELECTRICA
79300,LESION POR QUEMADURA
80055,MORDEDURA ANIMAL
81100,PICADURA ANIMAL PONZOÑOSO
82074,SINDROME DE MALTRATO
83033,VICTIMA DE RAYO
84099,DIAGNOSTICOS DE TRAUMA NO ESPECIFICADOS
90878,DESHIDRATACION Y/O DHE
91148,DIABETES
92148,HIPOGLICEMIA
92669,OBESIDAD
93189,DESNUTRICION
94874,ACIDOSIS
95088,OTROS TRSTORNOS METABOLICOS
100159,HIPERTENSION
101020,ANGINA
102021,INFARTO AGUDO
103049,ARRITMIAS
104570,CHOQUE CARDIOGENICO
105050,INSUFICIENCIA CARDIACA
106519,OTRAS ENFE. CADIACAS MAL DEFINIDAS
200879,VENAS VARICOSAS
201074,INSUFICIENCIA ARTERIAL AGUDA
202082,INSUFICIENCIA VENOSA
203084,VASOS HEMORROIDALES
204073,OTRAS ENFERMEDADES VASCULARES PERIFERICAS
300006,INFECCIONES VIAS RESPIRATORIAS ALTAS
301189,NEUMONIAS
302046,ASMA
303081,EDEMA PULMONAR
304960,INSUFICIENCIA RESPIRATORIA AGUDA
