"CLAVE","DESCRIP"
1,"2000"
2,"2001"
3,"2002"
4,"2003"
5,"2004"
6,"2005"
7,"2006"
8,"2007"
9,"2008"
10,"2009"
11,"2010"
12,"2011"
13,"2012"
14,"2013"
15,"2014"
16,"2015"
17,"2016"
18,"2017"
19,"2018"
20,"2019"
21,"2020"
22,"2021"
23,"2022"
24,"2023"
25,"2024"
26,"2025"
27,"2026"
28,"2027"
29,"2028"
30,"2029"
31,"2030"
32,"2031"
33,"2032"
34,"2033"
35,"2034"
36,"2035"
37,"2036"
38,"2037"
39,"2038"
40,"2039"
41,"2040"
42,"2041"
43,"2042"
44,"2043"
45,"2044"
46,"2045"
47,"2046"
48,"2047"
49,"2048"
50,"2049"
51,"2050"
